市区町村コード,市区町村,寄付額,控除額,寄付－控除額
02204,青森県 黒石市,137570,6827,130743
02205,青森県 五所川原市,584513,17819,566694
02206,青森県 十和田市,41921,38049,3872
02207,青森県 三沢市,35503,34831,672
02208,青森県 むつ市,164926,28419,136507
02209,青森県 つがる市,32335,5650,26685
02210,青森県 平川市,237663,8207,229456
02301,青森県 東津軽郡 平内町,8861,967,7894
02303,青森県 東津軽郡 今別町,14633,330,14303
02304,青森県 東津軽郡 蓬田村,890,133,757
02307,青森県 東津軽郡 外ヶ浜町,5735,1196,4539
02321,青森県 西津軽郡 鰺ヶ沢町,263224,1340,261884
02323,青森県 西津軽郡 深浦町,36582,1009,35573
02343,青森県 中津軽郡 西目屋村,14383,157,14226
02361,青森県 南津軽郡 藤崎町,177915,5146,172769
02362,青森県 南津軽郡 大鰐町,22260,1182,21078
02367,青森県 南津軽郡 田舎館村,9118,1739,7379
02381,青森県 北津軽郡 板柳町,80209,2493,77716
02384,青森県 北津軽郡 鶴田町,92374,2906,89468
02387,青森県 北津軽郡 中泊町,38164,1486,36678
02401,青森県 上北郡 野辺地町,5026,5368,-342
02402,青森県 上北郡 七戸町,45960,4011,41949
02405,青森県 上北郡 六戸町,2575,4395,-1820
02406,青森県 上北郡 横浜町,7962,526,7436
02408,青森県 上北郡 東北町,28785,3553,25232
02411,青森県 上北郡 六ヶ所村,10665,12463,-1798
02412,青森県 上北郡 おいらせ町,25578,12193,13385
02423,青森県 下北郡 大間町,81760,1886,79874
02424,青森県 下北郡 東通村,110628,1945,108683
02425,青森県 下北郡 風間浦村,10153,163,9990
02426,青森県 下北郡 佐井村,11363,46,11317
02441,青森県 三戸郡 三戸町,393018,2028,390990
02442,青森県 三戸郡 五戸町,117194,5107,112087
02443,青森県 三戸郡 田子町,99612,973,98639
02445,青森県 三戸郡 南部町,356229,5921,350308
02446,青森県 三戸郡 階上町,8862,3321,5541
02450,青森県 三戸郡 新郷村,40900,58,40842
03201,岩手県 盛岡市,181791,358014,-176223
03202,岩手県 宮古市,108463,13696,94767
03203,岩手県 大船渡市,171931,10309,161622
03205,岩手県 花巻市,2960368,47474,2912894
03206,岩手県 北上市,1684871,72814,1612057
03207,岩手県 久慈市,328662,14284,314378
03208,岩手県 遠野市,165364,6139,159225
03209,岩手県 一関市,281731,46306,235425
03210,岩手県 陸前高田市,651316,3356,647960
03211,岩手県 釜石市,722990,12176,710814
03213,岩手県 二戸市,97631,10660,86971
03214,岩手県 八幡平市,78162,5457,72705
03215,岩手県 奥州市,1554324,66321,1488003
03216,岩手県 滝沢市,40792,27462,13330
03301,岩手県 岩手郡 雫石町,346925,3342,343583
03302,岩手県 岩手郡 葛巻町,16145,856,15289
03303,岩手県 岩手郡 岩手町,79297,1865,77432
03321,岩手県 紫波郡 紫波町,319837,12001,307836
03322,岩手県 紫波郡 矢巾町,570675,19090,551585
03366,岩手県 和賀郡 西和賀町,195166,852,194314
03381,岩手県 胆沢郡 金ケ崎町,35004,5309,29695
03402,岩手県 西磐井郡 平泉町,5136,1504,3632
03441,岩手県 気仙郡 住田町,23667,906,22761
03461,岩手県 上閉伊郡 大槌町,200221,2908,197313
03482,岩手県 下閉伊郡 山田町,169921,2365,167556
03483,岩手県 下閉伊郡 岩泉町,117370,1323,116047
03484,岩手県 下閉伊郡 田野畑村,4693,410,4283
03485,岩手県 下閉伊郡 普代村,233585,198,233387
03501,岩手県 九戸郡 軽米町,23759,1917,21842
03503,岩手県 九戸郡 野田村,6635,579,6056
03506,岩手県 九戸郡 九戸村,2420,568,1852
03507,岩手県 九戸郡 洋野町,60555,2528,58027
03524,岩手県 二戸郡 一戸町,63293,2816,60477
04100,宮城県 仙台市,181114,2852573,-2671459
04202,宮城県 石巻市,357366,74009,283357
04203,宮城県 塩竈市,152808,33185,119623
04205,宮城県 気仙沼市,457674,21794,435880
04206,宮城県 白石市,559806,12799,547007
04207,宮城県 名取市,1117288,101109,1016179
04208,宮城県 角田市,2707231,11676,2695555
04209,宮城県 多賀城市,156043,57553,98490
04211,宮城県 岩沼市,281631,38579,243052
04212,宮城県 登米市,243672,29544,214128
04213,宮城県 栗原市,116375,22415,93960
04214,宮城県 東松島市,648939,19154,629785
04215,宮城県 大崎市,427794,76748,351046
04216,宮城県 富谷市,56176,80583,-24407
04301,宮城県 刈田郡 蔵王町,610863,3721,607142
04302,宮城県 刈田郡 七ヶ宿町,1887,52,1835
04321,宮城県 柴田郡 大河原町,85784,16632,69152
04322,宮城県 柴田郡 村田町,163567,3587,159980
04323,宮城県 柴田郡 柴田町,1700857,18290,1682567
04324,宮城県 柴田郡 川崎町,116611,1659,114952
