移動前,移動後,性別,人数
鹿児島県,岩手県,女,3
岩手県,沖縄県,総数,24
岩手県,沖縄県,男,4
岩手県,沖縄県,女,20
秋田県,宮城県,総数,819
秋田県,宮城県,男,376
秋田県,宮城県,女,443
山形県,宮城県,総数,974
山形県,宮城県,男,337
山形県,宮城県,女,637
福島県,宮城県,総数,1399
福島県,宮城県,男,557
福島県,宮城県,女,842
宮城県,茨城県,総数,163
宮城県,茨城県,男,41
宮城県,茨城県,女,122
宮城県,栃木県,総数,35
宮城県,栃木県,男,23
宮城県,栃木県,女,12
群馬県,宮城県,総数,1
群馬県,宮城県,男,27
宮城県,群馬県,女,26
宮城県,埼玉県,総数,826
宮城県,埼玉県,男,371
宮城県,埼玉県,女,455
宮城県,千葉県,総数,328
宮城県,千葉県,男,160
宮城県,千葉県,女,168
宮城県,東京都,総数,2739
宮城県,東京都,男,1217
宮城県,東京都,女,1522
宮城県,神奈川県,総数,872
宮城県,神奈川県,男,410
宮城県,神奈川県,女,462
新潟県,宮城県,総数,184
新潟県,宮城県,男,114
新潟県,宮城県,女,70
富山県,宮城県,総数,3
富山県,宮城県,男,11
宮城県,富山県,女,8
石川県,宮城県,総数,64
石川県,宮城県,男,40
石川県,宮城県,女,24
宮城県,福井県,総数,0
宮城県,福井県,男,6
福井県,宮城県,女,6
宮城県,山梨県,総数,73
宮城県,山梨県,男,23
宮城県,山梨県,女,50
宮城県,長野県,総数,22
宮城県,長野県,男,6
宮城県,長野県,女,16
宮城県,岐阜県,総数,13
岐阜県,宮城県,男,3
宮城県,岐阜県,女,16
静岡県,宮城県,総数,21
静岡県,宮城県,男,52
宮城県,静岡県,女,31
宮城県,愛知県,総数,43
宮城県,愛知県,男,16
宮城県,愛知県,女,27
宮城県,三重県,総数,62
宮城県,三重県,男,32
宮城県,三重県,女,30
宮城県,滋賀県,総数,72
宮城県,滋賀県,男,26
宮城県,滋賀県,女,46
宮城県,京都府,総数,21
宮城県,京都府,男,2
宮城県,京都府,女,19
宮城県,大阪府,総数,309
宮城県,大阪府,男,162
宮城県,大阪府,女,147
宮城県,兵庫県,総数,22
宮城県,兵庫県,男,5
宮城県,兵庫県,女,17
奈良県,宮城県,総数,26
奈良県,宮城県,男,13
奈良県,宮城県,女,13
宮城県,和歌山県,総数,27
宮城県,和歌山県,男,13
宮城県,和歌山県,女,14
宮城県,鳥取県,総数,4
宮城県,鳥取県,男,6
鳥取県,宮城県,女,2
島根県,宮城県,総数,8
島根県,宮城県,男,4
島根県,宮城県,女,4
岡山県,宮城県,総数,27
岡山県,宮城県,男,29
宮城県,岡山県,女,2
広島県,宮城県,総数,52
広島県,宮城県,男,37
広島県,宮城県,女,15
山口県,宮城県,総数,9
山口県,宮城県,男,10
宮城県,山口県,女,1
徳島県,宮城県,総数,7
徳島県,宮城県,男,3
徳島県,宮城県,女,4
宮城県,香川県,総数,22
宮城県,香川県,男,16
宮城県,香川県,女,6
愛媛県,宮城県,総数,33
愛媛県,宮城県,男,20
愛媛県,宮城県,女,13
宮城県,高知県,総数,14
宮城県,高知県,男,14
宮城県,高知県,女,0
宮城県,福岡県,総数,106
宮城県,福岡県,男,75
宮城県,福岡県,女,31
佐賀県,宮城県,総数,6
佐賀県,宮城県,男,4
佐賀県,宮城県,女,2
宮城県,長崎県,総数,11
宮城県,長崎県,男,10
宮城県,長崎県,女,1
熊本県,宮城県,総数,23
宮城県,熊本県,男,2
熊本県,宮城県,女,25
宮城県,大分県,総数,1
大分県,宮城県,男,1
宮城県,大分県,女,2
宮崎県,宮城県,総数,62
宮崎県,宮城県,男,57
宮崎県,宮城県,女,5
宮城県,鹿児島県,総数,8
宮城県,鹿児島県,男,12
鹿児島県,宮城県,女,4
宮城県,沖縄県,総数,39
宮城県,沖縄県,男,10
宮城県,沖縄県,女,29
秋田県,山形県,総数,1
山形県,秋田県,男,20
秋田県,山形県,女,21
秋田県,福島県,総数,13
福島県,秋田県,男,4
秋田県,福島県,女,17
秋田県,茨城県,総数,105
秋田県,茨城県,男,44
秋田県,茨城県,女,61
秋田県,栃木県,総数,88
秋田県,栃木県,男,47
秋田県,栃木県,女,41
秋田県,群馬県,総数,7
秋田県,群馬県,男,6
秋田県,群馬県,女,1
秋田県,埼玉県,総数,211
秋田県,埼玉県,男,9
秋田県,埼玉県,女,202
秋田県,千葉県,総数,205
秋田県,千葉県,男,100
秋田県,千葉県,女,105
秋田県,東京都,総数,706
秋田県,東京都,男,244
秋田県,東京都,女,462
秋田県,神奈川県,総数,253
秋田県,神奈川県,男,83
秋田県,神奈川県,女,170
秋田県,新潟県,総数,52
秋田県,新潟県,男,24
秋田県,新潟県,女,28
富山県,秋田県,総数,3
秋田県,富山県,男,0
富山県,秋田県,女,3
秋田県,石川県,総数,3
石川県,秋田県,男,6
秋田県,石川県,女,9
秋田県,福井県,総数,3
福井県,秋田県,男,3
秋田県,福井県,女,6
秋田県,山梨県,総数,4
秋田県,山梨県,男,3
秋田県,山梨県,女,1
秋田県,長野県,総数,45
秋田県,長野県,男,18
秋田県,長野県,女,27
秋田県,岐阜県,総数,16
秋田県,岐阜県,男,10
