移動前,移動後,性別,人数
徳島県,福井県,総数,13
徳島県,福井県,男,3
徳島県,福井県,女,10
香川県,福井県,総数,11
香川県,福井県,男,1
香川県,福井県,女,10
福井県,愛媛県,総数,27
福井県,愛媛県,男,14
福井県,愛媛県,女,13
高知県,福井県,総数,2
高知県,福井県,男,11
福井県,高知県,女,9
福井県,福岡県,総数,37
福井県,福岡県,男,24
福井県,福岡県,女,13
福井県,佐賀県,総数,0
福井県,佐賀県,男,1
佐賀県,福井県,女,1
福井県,長崎県,総数,10
福井県,長崎県,男,3
福井県,長崎県,女,7
福井県,熊本県,総数,11
福井県,熊本県,男,14
熊本県,福井県,女,3
福井県,大分県,総数,14
福井県,大分県,男,15
大分県,福井県,女,1
宮崎県,福井県,総数,7
宮崎県,福井県,男,5
宮崎県,福井県,女,2
福井県,鹿児島県,総数,2
福井県,鹿児島県,男,4
鹿児島県,福井県,女,2
福井県,沖縄県,総数,34
福井県,沖縄県,男,13
福井県,沖縄県,女,21
長野県,山梨県,総数,39
長野県,山梨県,男,37
長野県,山梨県,女,2
岐阜県,山梨県,総数,50
岐阜県,山梨県,男,41
岐阜県,山梨県,女,9
静岡県,山梨県,総数,98
静岡県,山梨県,男,41
静岡県,山梨県,女,57
愛知県,山梨県,総数,34
愛知県,山梨県,男,39
山梨県,愛知県,女,5
三重県,山梨県,総数,53
三重県,山梨県,男,24
三重県,山梨県,女,29
山梨県,滋賀県,総数,7
山梨県,滋賀県,男,6
山梨県,滋賀県,女,1
京都府,山梨県,総数,2
山梨県,京都府,男,2
京都府,山梨県,女,4
大阪府,山梨県,総数,23
山梨県,大阪府,男,1
大阪府,山梨県,女,24
兵庫県,山梨県,総数,30
兵庫県,山梨県,男,16
兵庫県,山梨県,女,14
山梨県,奈良県,総数,15
山梨県,奈良県,男,10
山梨県,奈良県,女,5
和歌山県,山梨県,総数,5
山梨県,和歌山県,男,1
和歌山県,山梨県,女,6
山梨県,鳥取県,総数,15
山梨県,鳥取県,男,10
山梨県,鳥取県,女,5
島根県,山梨県,総数,21
島根県,山梨県,男,12
島根県,山梨県,女,9
岡山県,山梨県,総数,14
岡山県,山梨県,男,12
岡山県,山梨県,女,2
広島県,山梨県,総数,69
広島県,山梨県,男,52
広島県,山梨県,女,17
山口県,山梨県,総数,9
山梨県,山口県,男,1
山口県,山梨県,女,10
徳島県,山梨県,総数,23
徳島県,山梨県,男,16
徳島県,山梨県,女,7
香川県,山梨県,総数,13
香川県,山梨県,男,10
香川県,山梨県,女,3
愛媛県,山梨県,総数,18
愛媛県,山梨県,男,9
愛媛県,山梨県,女,9
高知県,山梨県,総数,25
高知県,山梨県,男,16
高知県,山梨県,女,9
福岡県,山梨県,総数,3
山梨県,福岡県,男,2
福岡県,山梨県,女,5
佐賀県,山梨県,総数,9
佐賀県,山梨県,男,7
佐賀県,山梨県,女,2
長崎県,山梨県,総数,22
長崎県,山梨県,男,14
長崎県,山梨県,女,8
熊本県,山梨県,総数,2
熊本県,山梨県,男,6
山梨県,熊本県,女,4
大分県,山梨県,総数,1
山梨県,大分県,男,1
大分県,山梨県,女,2
宮崎県,山梨県,総数,9
山梨県,宮崎県,男,2
宮崎県,山梨県,女,11
山梨県,鹿児島県,総数,0
山梨県,鹿児島県,男,4
鹿児島県,山梨県,女,4
沖縄県,山梨県,総数,12
沖縄県,山梨県,男,8
沖縄県,山梨県,女,4
長野県,岐阜県,総数,56
長野県,岐阜県,男,21
長野県,岐阜県,女,35
静岡県,長野県,総数,42
静岡県,長野県,男,58
長野県,静岡県,女,16
長野県,愛知県,総数,97
長野県,愛知県,男,27
長野県,愛知県,女,70
三重県,長野県,総数,11
三重県,長野県,男,19
長野県,三重県,女,8
長野県,滋賀県,総数,11
長野県,滋賀県,男,14
滋賀県,長野県,女,3
長野県,京都府,総数,88
長野県,京都府,男,28
長野県,京都府,女,60
大阪府,長野県,総数,10
大阪府,長野県,男,32
長野県,大阪府,女,22
兵庫県,長野県,総数,53
兵庫県,長野県,男,8
兵庫県,長野県,女,45
奈良県,長野県,総数,27
奈良県,長野県,男,12
奈良県,長野県,女,15
和歌山県,長野県,総数,1
和歌山県,長野県,男,4
長野県,和歌山県,女,3
鳥取県,長野県,総数,9
鳥取県,長野県,男,3
鳥取県,長野県,女,6
島根県,長野県,総数,23
島根県,長野県,男,12
島根県,長野県,女,11
岡山県,長野県,総数,27
岡山県,長野県,男,20
岡山県,長野県,女,7
広島県,長野県,総数,72
広島県,長野県,男,30
広島県,長野県,女,42
山口県,長野県,総数,7
長野県,山口県,男,9
山口県,長野県,女,16
徳島県,長野県,総数,35
徳島県,長野県,男,15
徳島県,長野県,女,20
香川県,長野県,総数,37
香川県,長野県,男,16
香川県,長野県,女,21
愛媛県,長野県,総数,23
愛媛県,長野県,男,28
長野県,愛媛県,女,5
長野県,高知県,総数,7
長野県,高知県,男,3
長野県,高知県,女,4
福岡県,長野県,総数,51
福岡県,長野県,男,34
福岡県,長野県,女,17
長野県,佐賀県,総数,5
長野県,佐賀県,男,4
長野県,佐賀県,女,1
長野県,長崎県,総数,3
長崎県,長野県,男,4
長野県,長崎県,女,7
長野県,熊本県,総数,7
長野県,熊本県,男,2
長野県,熊本県,女,5
大分県,長野県,総数,7
長野県,大分県,男,2
大分県,長野県,女,9
宮崎県,長野県,総数,23
宮崎県,長野県,男,17
宮崎県,長野県,女,6
鹿児島県,長野県,総数,73
鹿児島県,長野県,男,37
鹿児島県,長野県,女,36
沖縄県,長野県,総数,25
沖縄県,長野県,男,2
沖縄県,長野県,女,23
岐阜県,静岡県,総数,183
岐阜県,静岡県,男,71
岐阜県,静岡県,女,112
岐阜県,愛知県,総数,895
岐阜県,愛知県,男,6
岐阜県,愛知県,女,889
岐阜県,三重県,総数,115
岐阜県,三重県,男,21
岐阜県,三重県,女,94
岐阜県,滋賀県,総数,49
岐阜県,滋賀県,男,33
岐阜県,滋賀県,女,16
岐阜県,京都府,総数,192
岐阜県,京都府,男,96
岐阜県,京都府,女,96
岐阜県,大阪府,総数,365
岐阜県,大阪府,男,179
岐阜県,大阪府,女,186
兵庫県,岐阜県,総数,60
兵庫県,岐阜県,男,40
兵庫県,岐阜県,女,20
奈良県,岐阜県,総数,14
奈良県,岐阜県,男,25
岐阜県,奈良県,女,11
和歌山県,岐阜県,総数,5
岐阜県,和歌山県,男,3
和歌山県,岐阜県,女,8
鳥取県,岐阜県,総数,1
岐阜県,鳥取県,男,3
鳥取県,岐阜県,女,4
島根県,岐阜県,総数,39
島根県,岐阜県,男,25
島根県,岐阜県,女,14
岡山県,岐阜県,総数,55
岡山県,岐阜県,男,53
岡山県,岐阜県,女,2
広島県,岐阜県,総数,35
広島県,岐阜県,男,31
広島県,岐阜県,女,4
山口県,岐阜県,総数,17
岐阜県,山口県,男,11
山口県,岐阜県,女,28
徳島県,岐阜県,総数,111
徳島県,岐阜県,男,66
徳島県,岐阜県,女,45
香川県,岐阜県,総数,20
香川県,岐阜県,男,12
香川県,岐阜県,女,8
愛媛県,岐阜県,総数,27
愛媛県,岐阜県,男,15
愛媛県,岐阜県,女,12
岐阜県,高知県,総数,13
岐阜県,高知県,男,8
岐阜県,高知県,女,5
岐阜県,福岡県,総数,51
岐阜県,福岡県,男,2
岐阜県,福岡県,女,49
佐賀県,岐阜県,総数,24
佐賀県,岐阜県,男,14
佐賀県,岐阜県,女,10
長崎県,岐阜県,総数,24
長崎県,岐阜県,男,9
長崎県,岐阜県,女,15
熊本県,岐阜県,総数,37
熊本県,岐阜県,男,21
熊本県,岐阜県,女,16
岐阜県,大分県,総数,4
大分県,岐阜県,男,2
岐阜県,大分県,女,6
宮崎県,岐阜県,総数,10
宮崎県,岐阜県,男,5
宮崎県,岐阜県,女,5
鹿児島県,岐阜県,総数,20
鹿児島県,岐阜県,男,10
鹿児島県,岐阜県,女,10
沖縄県,岐阜県,総数,17
沖縄県,岐阜県,男,2
沖縄県,岐阜県,女,15
静岡県,愛知県,総数,21
愛知県,静岡県,男,293
静岡県,愛知県,女,314
三重県,静岡県,総数,274
三重県,静岡県,男,159
三重県,静岡県,女,115
静岡県,滋賀県,総数,73
静岡県,滋賀県,男,2
静岡県,滋賀県,女,71
静岡県,京都府,総数,169
静岡県,京都府,男,59
静岡県,京都府,女,110
静岡県,大阪府,総数,361
静岡県,大阪府,男,187
静岡県,大阪府,女,174
兵庫県,静岡県,総数,114
兵庫県,静岡県,男,95
兵庫県,静岡県,女,19
静岡県,奈良県,総数,35
奈良県,静岡県,男,9
静岡県,奈良県,女,44
和歌山県,静岡県,総数,31
和歌山県,静岡県,男,17
和歌山県,静岡県,女,14
静岡県,鳥取県,総数,22
静岡県,鳥取県,男,22
静岡県,鳥取県,女,0
島根県,静岡県,総数,78
島根県,静岡県,男,43
島根県,静岡県,女,35
岡山県,静岡県,総数,111
岡山県,静岡県,男,73
岡山県,静岡県,女,38
広島県,静岡県,総数,154
広島県,静岡県,男,57
広島県,静岡県,女,97
山口県,静岡県,総数,169
山口県,静岡県,男,80
山口県,静岡県,女,89
徳島県,静岡県,総数,58
徳島県,静岡県,男,17
徳島県,静岡県,女,41
香川県,静岡県,総数,50
香川県,静岡県,男,55
静岡県,香川県,女,5
愛媛県,静岡県,総数,49
愛媛県,静岡県,男,33
愛媛県,静岡県,女,16
高知県,静岡県,総数,18
静岡県,高知県,男,0
高知県,静岡県,女,18
福岡県,静岡県,総数,9
福岡県,静岡県,男,3
福岡県,静岡県,女,6
静岡県,佐賀県,総数,8
静岡県,佐賀県,男,17
佐賀県,静岡県,女,9
長崎県,静岡県,総数,37
長崎県,静岡県,男,8
長崎県,静岡県,女,29
静岡県,熊本県,総数,35
静岡県,熊本県,男,42
熊本県,静岡県,女,7
大分県,静岡県,総数,2
静岡県,大分県,男,8
大分県,静岡県,女,10
静岡県,宮崎県,総数,34
静岡県,宮崎県,男,37
宮崎県,静岡県,女,3
静岡県,鹿児島県,総数,9
静岡県,鹿児島県,男,20
鹿児島県,静岡県,女,11
沖縄県,静岡県,総数,38
沖縄県,静岡県,男,19
沖縄県,静岡県,女,19
三重県,愛知県,総数,1552
三重県,愛知県,男,440
三重県,愛知県,女,1112
愛知県,滋賀県,総数,129
愛知県,滋賀県,男,179
滋賀県,愛知県,女,50
愛知県,京都府,総数,434
愛知県,京都府,男,221
愛知県,京都府,女,213
愛知県,大阪府,総数,1391
愛知県,大阪府,男,876
愛知県,大阪府,女,515
愛知県,兵庫県,総数,345
愛知県,兵庫県,男,107
愛知県,兵庫県,女,238
奈良県,愛知県,総数,77
奈良県,愛知県,男,72
奈良県,愛知県,女,5
和歌山県,愛知県,総数,55
和歌山県,愛知県,男,6
和歌山県,愛知県,女,49
鳥取県,愛知県,総数,91
鳥取県,愛知県,男,31
鳥取県,愛知県,女,60
島根県,愛知県,総数,154
島根県,愛知県,男,88
島根県,愛知県,女,66
岡山県,愛知県,総数,180
岡山県,愛知県,男,111
岡山県,愛知県,女,69
広島県,愛知県,総数,502
広島県,愛知県,男,291
広島県,愛知県,女,211
山口県,愛知県,総数,68
山口県,愛知県,男,42
山口県,愛知県,女,26
徳島県,愛知県,総数,178
徳島県,愛知県,男,93
徳島県,愛知県,女,85
香川県,愛知県,総数,230
香川県,愛知県,男,138
香川県,愛知県,女,92
愛媛県,愛知県,総数,198
愛媛県,愛知県,男,91
愛媛県,愛知県,女,107
高知県,愛知県,総数,20
愛知県,高知県,男,12
高知県,愛知県,女,32
愛知県,福岡県,総数,164
愛知県,福岡県,男,138
愛知県,福岡県,女,26
愛知県,佐賀県,総数,9
愛知県,佐賀県,男,19
佐賀県,愛知県,女,10
長崎県,愛知県,総数,80
長崎県,愛知県,男,8
長崎県,愛知県,女,72
愛知県,熊本県,総数,42
愛知県,熊本県,男,34
愛知県,熊本県,女,8
愛知県,大分県,総数,71
愛知県,大分県,男,59
愛知県,大分県,女,12
愛知県,宮崎県,総数,127
愛知県,宮崎県,男,98
愛知県,宮崎県,女,29
愛知県,鹿児島県,総数,47
愛知県,鹿児島県,男,97
鹿児島県,愛知県,女,50
愛知県,沖縄県,総数,107
愛知県,沖縄県,男,19
愛知県,沖縄県,女,88
三重県,滋賀県,総数,121
三重県,滋賀県,男,122
滋賀県,三重県,女,1
三重県,京都府,総数,211
三重県,京都府,男,59
三重県,京都府,女,152
三重県,大阪府,総数,598
三重県,大阪府,男,113
三重県,大阪府,女,485
三重県,兵庫県,総数,74
三重県,兵庫県,男,22
三重県,兵庫県,女,52
三重県,奈良県,総数,99
三重県,奈良県,男,15
三重県,奈良県,女,84
和歌山県,三重県,総数,34
和歌山県,三重県,男,11
和歌山県,三重県,女,23
鳥取県,三重県,総数,12
鳥取県,三重県,男,6
鳥取県,三重県,女,6
島根県,三重県,総数,25
島根県,三重県,男,22
島根県,三重県,女,3
岡山県,三重県,総数,31
岡山県,三重県,男,37
三重県,岡山県,女,6
広島県,三重県,総数,39
三重県,広島県,男,11
広島県,三重県,女,50
山口県,三重県,総数,32
山口県,三重県,男,24
山口県,三重県,女,8
三重県,徳島県,総数,0
三重県,徳島県,男,0
三重県,徳島県,女,0
香川県,三重県,総数,52
香川県,三重県,男,23
香川県,三重県,女,29
愛媛県,三重県,総数,21
三重県,愛媛県,男,2
愛媛県,三重県,女,23
三重県,高知県,総数,26
三重県,高知県,男,30
高知県,三重県,女,4
福岡県,三重県,総数,55
福岡県,三重県,男,61
三重県,福岡県,女,6
三重県,佐賀県,総数,0
佐賀県,三重県,男,2
三重県,佐賀県,女,2
長崎県,三重県,総数,23
長崎県,三重県,男,7
長崎県,三重県,女,16
三重県,熊本県,総数,32
三重県,熊本県,男,18
三重県,熊本県,女,14
三重県,大分県,総数,24
三重県,大分県,男,24
三重県,大分県,女,0
宮崎県,三重県,総数,4
宮崎県,三重県,男,1
宮崎県,三重県,女,3
鹿児島県,三重県,総数,29
鹿児島県,三重県,男,5
鹿児島県,三重県,女,24
沖縄県,三重県,総数,7
沖縄県,三重県,男,20
三重県,沖縄県,女,13
京都府,滋賀県,総数,1609
京都府,滋賀県,男,749
京都府,滋賀県,女,860
滋賀県,大阪府,総数,373
滋賀県,大阪府,男,136
滋賀県,大阪府,女,237
兵庫県,滋賀県,総数,162
兵庫県,滋賀県,男,76
兵庫県,滋賀県,女,86
奈良県,滋賀県,総数,125
奈良県,滋賀県,男,62
奈良県,滋賀県,女,63
和歌山県,滋賀県,総数,19
和歌山県,滋賀県,男,34
滋賀県,和歌山県,女,15
鳥取県,滋賀県,総数,42
鳥取県,滋賀県,男,20
鳥取県,滋賀県,女,22
島根県,滋賀県,総数,96
島根県,滋賀県,男,48
島根県,滋賀県,女,48
岡山県,滋賀県,総数,98
岡山県,滋賀県,男,52
岡山県,滋賀県,女,46
広島県,滋賀県,総数,11
滋賀県,広島県,男,50
広島県,滋賀県,女,61
山口県,滋賀県,総数,17
山口県,滋賀県,男,6
山口県,滋賀県,女,11
徳島県,滋賀県,総数,39
徳島県,滋賀県,男,16
徳島県,滋賀県,女,23
香川県,滋賀県,総数,20
香川県,滋賀県,男,4
香川県,滋賀県,女,16
愛媛県,滋賀県,総数,55
愛媛県,滋賀県,男,23
愛媛県,滋賀県,女,32
高知県,滋賀県,総数,10
高知県,滋賀県,男,3
高知県,滋賀県,女,7
福岡県,滋賀県,総数,99
福岡県,滋賀県,男,47
福岡県,滋賀県,女,52
佐賀県,滋賀県,総数,1
佐賀県,滋賀県,男,4
滋賀県,佐賀県,女,3
長崎県,滋賀県,総数,24
滋賀県,長崎県,男,3
長崎県,滋賀県,女,27
熊本県,滋賀県,総数,6
滋賀県,熊本県,男,6
熊本県,滋賀県,女,12
大分県,滋賀県,総数,1
滋賀県,大分県,男,4
大分県,滋賀県,女,5
滋賀県,宮崎県,総数,13
滋賀県,宮崎県,男,11
滋賀県,宮崎県,女,2
滋賀県,鹿児島県,総数,31
滋賀県,鹿児島県,男,38
鹿児島県,滋賀県,女,7
滋賀県,沖縄県,総数,9
滋賀県,沖縄県,男,13
沖縄県,滋賀県,女,4
京都府,大阪府,総数,2227
京都府,大阪府,男,878
京都府,大阪府,女,1349
兵庫県,京都府,総数,339
兵庫県,京都府,男,129
兵庫県,京都府,女,210
奈良県,京都府,総数,140
奈良県,京都府,男,28
奈良県,京都府,女,112
和歌山県,京都府,総数,88
京都府,和歌山県,男,0
和歌山県,京都府,女,88
鳥取県,京都府,総数,84
鳥取県,京都府,男,26
鳥取県,京都府,女,58
島根県,京都府,総数,75
島根県,京都府,男,17
島根県,京都府,女,58
岡山県,京都府,総数,476
岡山県,京都府,男,208
岡山県,京都府,女,268
広島県,京都府,総数,175
広島県,京都府,男,122
広島県,京都府,女,53
山口県,京都府,総数,31
京都府,山口県,男,4
山口県,京都府,女,35
徳島県,京都府,総数,93
徳島県,京都府,男,31
徳島県,京都府,女,62
香川県,京都府,総数,137
香川県,京都府,男,47
香川県,京都府,女,90
愛媛県,京都府,総数,116
愛媛県,京都府,男,40
愛媛県,京都府,女,76
高知県,京都府,総数,54
京都府,高知県,男,2
高知県,京都府,女,56
福岡県,京都府,総数,167
福岡県,京都府,男,101
福岡県,京都府,女,66
佐賀県,京都府,総数,26
京都府,佐賀県,男,1
佐賀県,京都府,女,27
長崎県,京都府,総数,65
長崎県,京都府,男,20
長崎県,京都府,女,45
熊本県,京都府,総数,154
熊本県,京都府,男,49
熊本県,京都府,女,105
大分県,京都府,総数,35
大分県,京都府,男,5
大分県,京都府,女,30
宮崎県,京都府,総数,34
宮崎県,京都府,男,17
宮崎県,京都府,女,17
鹿児島県,京都府,総数,82
鹿児島県,京都府,男,28
鹿児島県,京都府,女,54
沖縄県,京都府,総数,69
沖縄県,京都府,男,23
沖縄県,京都府,女,46
兵庫県,大阪府,総数,2607
兵庫県,大阪府,男,1042
兵庫県,大阪府,女,1565
大阪府,奈良県,総数,225
大阪府,奈良県,男,407
奈良県,大阪府,女,182
和歌山県,大阪府,総数,985
和歌山県,大阪府,男,429
和歌山県,大阪府,女,556
鳥取県,大阪府,総数,205
鳥取県,大阪府,男,71
鳥取県,大阪府,女,134
島根県,大阪府,総数,194
島根県,大阪府,男,47
島根県,大阪府,女,147
岡山県,大阪府,総数,1002
岡山県,大阪府,男,384
岡山県,大阪府,女,618
広島県,大阪府,総数,1619
広島県,大阪府,男,704
広島県,大阪府,女,915
山口県,大阪府,総数,291
山口県,大阪府,男,101
山口県,大阪府,女,190
徳島県,大阪府,総数,465
徳島県,大阪府,男,203
徳島県,大阪府,女,262
香川県,大阪府,総数,618
香川県,大阪府,男,262
香川県,大阪府,女,356
愛媛県,大阪府,総数,547
愛媛県,大阪府,男,170
愛媛県,大阪府,女,377
高知県,大阪府,総数,329
高知県,大阪府,男,95
高知県,大阪府,女,234
福岡県,大阪府,総数,549
福岡県,大阪府,男,189
福岡県,大阪府,女,360
佐賀県,大阪府,総数,61
佐賀県,大阪府,男,5
佐賀県,大阪府,女,56
長崎県,大阪府,総数,127
長崎県,大阪府,男,52
長崎県,大阪府,女,75
熊本県,大阪府,総数,12
大阪府,熊本県,男,51
熊本県,大阪府,女,63
大分県,大阪府,総数,31
大阪府,大分県,男,82
大分県,大阪府,女,113
宮崎県,大阪府,総数,55
大阪府,宮崎県,男,23
宮崎県,大阪府,女,78
大阪府,鹿児島県,総数,11
大阪府,鹿児島県,男,97
鹿児島県,大阪府,女,86
大阪府,沖縄県,総数,254
大阪府,沖縄県,男,27
大阪府,沖縄県,女,227
奈良県,兵庫県,総数,221
奈良県,兵庫県,男,94
奈良県,兵庫県,女,127
和歌山県,兵庫県,総数,131
和歌山県,兵庫県,男,43
和歌山県,兵庫県,女,88
鳥取県,兵庫県,総数,76
鳥取県,兵庫県,男,30
鳥取県,兵庫県,女,46
島根県,兵庫県,総数,86
兵庫県,島根県,男,9
島根県,兵庫県,女,95
岡山県,兵庫県,総数,740
岡山県,兵庫県,男,264
岡山県,兵庫県,女,476
広島県,兵庫県,総数,651
広島県,兵庫県,男,256
広島県,兵庫県,女,395
山口県,兵庫県,総数,5
兵庫県,山口県,男,24
山口県,兵庫県,女,29
徳島県,兵庫県,総数,155
徳島県,兵庫県,男,26
徳島県,兵庫県,女,129
香川県,兵庫県,総数,245
香川県,兵庫県,男,23
香川県,兵庫県,女,222
愛媛県,兵庫県,総数,344
愛媛県,兵庫県,男,73
愛媛県,兵庫県,女,271
高知県,兵庫県,総数,175
高知県,兵庫県,男,43
高知県,兵庫県,女,132
福岡県,兵庫県,総数,114
兵庫県,福岡県,男,30
福岡県,兵庫県,女,144
佐賀県,兵庫県,総数,54
佐賀県,兵庫県,男,22
佐賀県,兵庫県,女,32
長崎県,兵庫県,総数,119
長崎県,兵庫県,男,54
長崎県,兵庫県,女,65
熊本県,兵庫県,総数,15
兵庫県,熊本県,男,52
熊本県,兵庫県,女,67
大分県,兵庫県,総数,79
大分県,兵庫県,男,16
大分県,兵庫県,女,63
宮崎県,兵庫県,総数,71
宮崎県,兵庫県,男,41
宮崎県,兵庫県,女,30
鹿児島県,兵庫県,総数,35
兵庫県,鹿児島県,男,23
鹿児島県,兵庫県,女,58
沖縄県,兵庫県,総数,43
沖縄県,兵庫県,男,48
兵庫県,沖縄県,女,5
奈良県,和歌山県,総数,81
奈良県,和歌山県,男,48
奈良県,和歌山県,女,33
鳥取県,奈良県,総数,1
奈良県,鳥取県,男,1
鳥取県,奈良県,女,2
島根県,奈良県,総数,4
島根県,奈良県,男,2
島根県,奈良県,女,2
岡山県,奈良県,総数,23
岡山県,奈良県,男,1
岡山県,奈良県,女,22
広島県,奈良県,総数,50
広島県,奈良県,男,12
広島県,奈良県,女,38
奈良県,山口県,総数,16
奈良県,山口県,男,8
奈良県,山口県,女,8
徳島県,奈良県,総数,39
徳島県,奈良県,男,13
徳島県,奈良県,女,26
香川県,奈良県,総数,34
香川県,奈良県,男,14
香川県,奈良県,女,20
愛媛県,奈良県,総数,12
奈良県,愛媛県,男,15
愛媛県,奈良県,女,27
奈良県,高知県,総数,23
奈良県,高知県,男,24
高知県,奈良県,女,1
福岡県,奈良県,総数,8
奈良県,福岡県,男,22
福岡県,奈良県,女,30
奈良県,佐賀県,総数,3
奈良県,佐賀県,男,2
奈良県,佐賀県,女,1
奈良県,長崎県,総数,1
奈良県,長崎県,男,2
長崎県,奈良県,女,1
奈良県,熊本県,総数,5
奈良県,熊本県,男,6
熊本県,奈良県,女,1
大分県,奈良県,総数,2
大分県,奈良県,男,1
大分県,奈良県,女,1
宮崎県,奈良県,総数,2
宮崎県,奈良県,男,5
奈良県,宮崎県,女,3
鹿児島県,奈良県,総数,23
鹿児島県,奈良県,男,11
鹿児島県,奈良県,女,12
奈良県,沖縄県,総数,35
奈良県,沖縄県,男,10
奈良県,沖縄県,女,25
鳥取県,和歌山県,総数,2
鳥取県,和歌山県,男,5
和歌山県,鳥取県,女,3
島根県,和歌山県,総数,8
島根県,和歌山県,男,6
島根県,和歌山県,女,2
岡山県,和歌山県,総数,39
岡山県,和歌山県,男,6
岡山県,和歌山県,女,33
広島県,和歌山県,総数,26
広島県,和歌山県,男,11
広島県,和歌山県,女,15
和歌山県,山口県,総数,10
和歌山県,山口県,男,5
和歌山県,山口県,女,5
和歌山県,徳島県,総数,7
和歌山県,徳島県,男,9
徳島県,和歌山県,女,2
和歌山県,香川県,総数,14
和歌山県,香川県,男,7
和歌山県,香川県,女,7
和歌山県,愛媛県,総数,7
和歌山県,愛媛県,男,5
和歌山県,愛媛県,女,2
和歌山県,高知県,総数,4
和歌山県,高知県,男,4
和歌山県,高知県,女,0
和歌山県,福岡県,総数,33
和歌山県,福岡県,男,40
福岡県,和歌山県,女,7
和歌山県,佐賀県,総数,2
和歌山県,佐賀県,男,6
佐賀県,和歌山県,女,4
和歌山県,長崎県,総数,6
長崎県,和歌山県,男,1
和歌山県,長崎県,女,7
和歌山県,熊本県,総数,2
和歌山県,熊本県,男,1
和歌山県,熊本県,女,1
和歌山県,大分県,総数,9
和歌山県,大分県,男,12
大分県,和歌山県,女,3
和歌山県,宮崎県,総数,21
和歌山県,宮崎県,男,14
和歌山県,宮崎県,女,7
和歌山県,鹿児島県,総数,26
和歌山県,鹿児島県,男,11
和歌山県,鹿児島県,女,15
和歌山県,沖縄県,総数,24
和歌山県,沖縄県,男,17
和歌山県,沖縄県,女,7
島根県,鳥取県,総数,68
鳥取県,島根県,男,13
島根県,鳥取県,女,81
岡山県,鳥取県,総数,124
岡山県,鳥取県,男,68
岡山県,鳥取県,女,56
鳥取県,広島県,総数,92
鳥取県,広島県,男,48
鳥取県,広島県,女,44
鳥取県,山口県,総数,52
鳥取県,山口県,男,40
鳥取県,山口県,女,12
鳥取県,徳島県,総数,10
鳥取県,徳島県,男,6
鳥取県,徳島県,女,4
香川県,鳥取県,総数,7
香川県,鳥取県,男,11
鳥取県,香川県,女,4
鳥取県,愛媛県,総数,55
鳥取県,愛媛県,男,34
鳥取県,愛媛県,女,21
高知県,鳥取県,総数,2
高知県,鳥取県,男,1
高知県,鳥取県,女,1
鳥取県,福岡県,総数,55
鳥取県,福岡県,男,20
鳥取県,福岡県,女,35
佐賀県,鳥取県,総数,1
佐賀県,鳥取県,男,1
鳥取県,佐賀県,女,0
鳥取県,長崎県,総数,22
鳥取県,長崎県,男,11
鳥取県,長崎県,女,11
鳥取県,熊本県,総数,6
鳥取県,熊本県,男,11
熊本県,鳥取県,女,5
鳥取県,大分県,総数,15
鳥取県,大分県,男,4
鳥取県,大分県,女,11
宮崎県,鳥取県,総数,9
宮崎県,鳥取県,男,10
鳥取県,宮崎県,女,1
鳥取県,鹿児島県,総数,18
鳥取県,鹿児島県,男,3
鳥取県,鹿児島県,女,15
鳥取県,沖縄県,総数,22
鳥取県,沖縄県,男,14
鳥取県,沖縄県,女,8
島根県,岡山県,総数,39
島根県,岡山県,男,5
島根県,岡山県,女,34
島根県,広島県,総数,181
島根県,広島県,男,109
島根県,広島県,女,72
島根県,山口県,総数,83
島根県,山口県,男,50
島根県,山口県,女,33
徳島県,島根県,総数,22
徳島県,島根県,男,12
徳島県,島根県,女,10
島根県,香川県,総数,14
島根県,香川県,男,3
島根県,香川県,女,11
愛媛県,島根県,総数,8
島根県,愛媛県,男,12
愛媛県,島根県,女,20
高知県,島根県,総数,13
高知県,島根県,男,3
高知県,島根県,女,10
島根県,福岡県,総数,156
島根県,福岡県,男,89
島根県,福岡県,女,67
島根県,佐賀県,総数,2
島根県,佐賀県,男,1
島根県,佐賀県,女,1
島根県,長崎県,総数,9
島根県,長崎県,男,4
島根県,長崎県,女,5
島根県,熊本県,総数,5
島根県,熊本県,男,11
熊本県,島根県,女,6
島根県,大分県,総数,35
島根県,大分県,男,13
島根県,大分県,女,22
島根県,宮崎県,総数,5
島根県,宮崎県,男,2
島根県,宮崎県,女,3
島根県,鹿児島県,総数,3
島根県,鹿児島県,男,9
鹿児島県,島根県,女,6
沖縄県,島根県,総数,12
沖縄県,島根県,男,6
沖縄県,島根県,女,6
広島県,岡山県,総数,237
広島県,岡山県,男,110
広島県,岡山県,女,127
岡山県,山口県,総数,30
岡山県,山口県,男,53
山口県,岡山県,女,23
徳島県,岡山県,総数,69
徳島県,岡山県,男,38
徳島県,岡山県,女,31
香川県,岡山県,総数,128
香川県,岡山県,男,52
香川県,岡山県,女,76
愛媛県,岡山県,総数,129
愛媛県,岡山県,男,24
愛媛県,岡山県,女,105
岡山県,高知県,総数,22
岡山県,高知県,男,4
岡山県,高知県,女,18
岡山県,福岡県,総数,251
岡山県,福岡県,男,138
岡山県,福岡県,女,113
佐賀県,岡山県,総数,39
佐賀県,岡山県,男,13
佐賀県,岡山県,女,26
岡山県,長崎県,総数,5
岡山県,長崎県,男,3
岡山県,長崎県,女,2
岡山県,熊本県,総数,21
岡山県,熊本県,男,12
